CP;Commune;Distance;01-02;03-04;05-06;07-08;09-12;13-16 ;17-31 ;32-54
10700;Arcis-sur-Aube;30;50;65;75;90;100;115;200;250
10200;Arconville;130;256;271;281;296;511;588;694;785
10140;Argançon;100;194;209;219;234;388;446;545;624
10340;Arrelles;100;194;209;219;234;388;446;545;624
10330;Arrembécourt;60;111;126;136;151;223;256;347;409
10200;Arrentières;115;225;240;250;265;449;517;619;704
10200;Arsonval;105;204;219;229;244;408;469;570;651
10320;Assenay;85;163;178;188;203;326;374;471;543
10220;Assencières;60;111;126;136;151;223;256;347;409
10150;Aubeterre;55;101;116;126;141;202;232;322;382
10240;Aulnay;55;101;116;126;141;202;232;322;382
10130;Auxon;95;183;198;208;223;367;422;520;597
10400;Avant-lès-Marcilly;85;163;178;188;203;326;374;471;543
10240;Avant-lès-Ramerupt;55;101;116;126;141;202;232;322;382
10340;Avirey-Lingey;105;204;219;229;244;408;469;570;651
10290;Avon-la-Pèze;75;142;157;167;182;284;327;421;490
10130;Avreuil;100;194;209;219;234;388;446;545;624
10340;Bagneux-la-Fosse;105;204;219;229;244;408;469;570;651
10330;Bailly-le-Franc;60;111;126;136;151;223;256;347;409
10330;Balignicourt;50;91;106;116;131;181;208;298;356
10210;Balnot-la-Grange;105;204;219;229;244;408;469;570;651
10110;Balnot-sur-Laignes;115;225;240;250;265;449;517;619;704
10200;Bar-sur-Aube;110;214;229;239;254;429;493;595;677
10110;Bar-sur-Seine;105;204;219;229;244;408;469;570;651
10600;Barberey-Saint-Sulpice;65;122;137;147;162;243;280;372;436
10400;Barbuise;70;132;147;157;172;264;303;397;463
10200;Baroville;135;266;281;291;306;532;612;718;811
10310;Bayel;130;256;271;281;296;511;588;694;785
10190;Bercenay-en-Othe;85;163;178;188;203;326;374;471;543
10290;Bercenay-le-Hayer;100;194;209;219;234;388;446;545;624
10200;Bergères;115;225;240;250;265;449;517;619;704
10130;Bernon;100;194;209;219;234;388;446;545;624
10110;Bertignolles;105;204;219;229;244;408;469;570;651
10170;Bessy;40;70;85;95;110;140;161;248;302
10140;Beurey;95;183;198;208;223;367;422;520;597
10500;Blaincourt-sur-Aube;65;122;137;147;162;243;280;372;436
10500;Blignicourt;65;122;137;147;162;243;280;372;436
10200;Bligny;110;214;229;239;254;429;493;595;677
10140;Bossancourt;80;153;168;178;193;305;351;446;517
10320;Bouilly;80;153;168;178;193;305;351;446;517
10380;Boulages;45;80;95;105;120;161;185;273;329
10270;Bouranton;65;122;137;147;162;243;280;372;436
10290;Bourdenay;80;153;168;178;193;305;351;446;517
10110;Bourguignons;105;204;219;229;244;408;469;570;651
10220;Bouy-Luxembourg;65;122;137;147;162;243;280;372;436
10400;Bouy-sur-Orvin;95;183;198;208;223;367;422;520;597
10340;Bragelogne-Beauvoir;110;214;229;239;254;429;493;595;677
10500;Braux;55;101;116;126;141;202;232;322;382
10140;Briel-sur-Barse;80;153;168;178;193;305;351;446;517
10500;Brienne-la-Vieille;70;132;147;157;172;264;303;397;463
10500;Brienne-le-Château;70;132;147;157;172;264;303;397;463
10240;Brillecourt;50;91;106;116;131;181;208;298;356
10450;Bréviandes;70;132;147;157;172;264;303;397;463
10220;Brévonnes;65;122;137;147;162;243;280;372;436
10190;Bucey-en-Othe;80;153;168;178;193;305;351;446;517
10800;Buchères;70;132;147;157;172;264;303;397;463
10110;Buxeuil;110;214;229;239;254;429;493;595;677
10110;Buxières-sur-Arce;100;194;209;219;234;388;446;545;624
10160;Bérulle;125;245;260;270;285;491;564;669;758
10500;Bétignicourt;65;122;137;147;162;243;280;372;436
10110;Celles-sur-Ource;110;214;229;239;254;429;493;595;677
10110;Chacenay;105;204;219;229;244;408;469;570;651
10500;Chalette-sur-Voire;60;111;126;136;151;223;256;347;409
10130;Chamoy;90;173;188;198;213;346;398;496;570
10140;Champ-sur-Barse;85;163;178;188;203;326;374;471;543
10700;Champfleury;35;60;75;85;100;119;137;223;275
10200;Champignol-lez-Mondeville;115;225;240;250;265;449;517;619;704
10700;Champigny-sur-Aube;35;60;75;85;100;119;137;223;275
10340;Channes;115;225;240;250;265;449;517;619;704
10210;Chaource;95;183;198;208;223;367;422;520;597
10700;Chapelle-Vallon;50;91;106;116;131;181;208;298;356
10260;Chappes;85;163;178;188;203;326;374;471;543
10150;Charmont-sous-Barbuise;50;91;106;116;131;181;208;298;356
10290;Charmoy;80;153;168;178;193;305;351;446;517
10380;Charny-le-Bachot;45;80;95;105;120;161;185;273;329
10210;Chaserey;110;214;229;239;254;429;493;595;677
10170;Chauchigny;55;101;116;126;141;202;232;322;382
10240;Chaudrey;45;80;95;105;120;161;185;273;329
10110;Chauffour-lès-Bailly;80;153;168;178;193;305;351;446;517
10500;Chaumesnil;75;142;157;167;182;284;327;421;490
10330;Chavanges;60;111;126;136;151;223;256;347;409
10190;Chennegy;85;163;178;188;203;326;374;471;543
10110;Chervey;100;194;209;219;234;388;446;545;624
10210;Chesley;105;204;219;229;244;408;469;570;651
10130;Chessy-les-Prés;105;204;219;229;244;408;469;570;651
10510;Châtres;55;101;116;126;141;202;232;322;382
10390;Clérey;80;153;168;178;193;305;351;446;517
10240;Coclois;50;91;106;116;131;181;208;298;356
10200;Colombé-la-Fosse;115;225;240;250;265;449;517;619;704
10200;Colombé-le-Sec;115;225;240;250;265;449;517;619;704
10800;Cormost;82;157;172;182;197;313;360;456;527
10500;Courcelles-sur-Voire;65;122;137;147;162;243;280;372;436
10400;Courceroy;90;173;188;198;213;346;398;496;570
10130;Coursan-en-Othe;105;204;219;229;244;408;469;570;651
10130;Courtaoult;110;214;229;239;254;429;493;595;677
10260;Courtenot;85;163;178;188;203;326;374;471;543
10270;Courteranges;70;132;147;157;172;264;303;397;463
10250;Courteron;115;225;240;250;265;449;517;619;704
10210;Coussegrey;110;214;229;239;254;429;493;595;677
10200;Couvignon;110;214;229;239;254;429;493;595;677
10100;Crancey;70;132;147;157;172;264;303;397;463
10150;Creney-près-Troyes;60;111;126;136;151;223;256;347;409
10500;Crespy-le-Neuf;75;142;157;167;182;284;327;421;490
10320;Crésantignes;90;173;188;198;213;346;398;496;570
10360;Cunfin;135;266;281;291;306;532;612;718;811
10210;Cussangy;100;194;209;219;234;388;446;545;624
10240;Dampierre;45;80;95;105;120;161;185;273;329
10130;Davrey;105;204;219;229;244;408;469;570;651
10500;Dienville;70;132;147;157;172;264;303;397;463
10190;Dierrey-Saint-Julien;85;163;178;188;203;326;374;471;543
10190;Dierrey-Saint-Pierre;80;153;168;178;193;305;351;446;517
10200;Dolancourt;100;194;209;219;234;388;446;545;624
10240;Dommartin-le-Coq;50;91;106;116;131;181;208;298;356
10330;Donnement;50;91;106;116;131;181;208;298;356
10220;Dosches;70;132;147;157;172;264;303;397;463
10700;Dosnon;30;50;65;75;90;100;115;200;250
10170;Droupt-Saint-Basle;50;91;106;116;131;181;208;298;356
10170;Droupt-Sainte-Marie;50;91;106;116;131;181;208;298;356
10130;Eaux-Puiseaux;100;194;209;219;234;388;446;545;624
10200;Engente;100;194;209;219;234;388;446;545;624
10130;Ervy-le-Châtel;105;204;219;229;244;408;469;570;651
10360;Essoyes;115;225;240;250;265;449;517;619;704
10190;Estissac;85;163;178;188;203;326;374;471;543
10290;Faux-Villecerf;90;173;188;198;213;346;398;496;570
10290;Fay-lès-Marcilly;80;153;168;178;193;305;351;446;517
10320;Fays-la-Chapelle;90;173;188;198;213;346;398;496;570
10400;Ferreux-Quincey;90;173;188;198;213;346;398;496;570
10150;Feuges;50;91;106;116;131;181;208;298;356
10200;Fontaine;135;266;281;291;306;532;612;718;811
10280;Fontaine-les-Grès;60;111;126;136;151;223;256;347;409
10400;Fontaine-Mâcon;85;163;178;188;203;326;374;471;543
10400;Fontenay-de-Bossery;90;173;188;198;213;346;398;496;570
10360;Fontette;115;225;240;250;265;449;517;619;704
10190;Fontvannes;80;153;168;178;193;305;351;446;517
10260;Fouchères;85;163;178;188;203;326;374;471;543
10110;Fralignes;100;194;209;219;234;388;446;545;624
10200;Fravaux;105;204;219;229;244;408;469;570;651
10200;Fresnay;90;173;188;198;213;346;398;496;570
10270;Fresnoy-le-Château;80;153;168;178;193;305;351;446;517
10200;Fuligny;85;163;178;188;203;326;374;471;543
10700;Grandville;30;50;65;75;90;100;115;200;250
10400;Gumery;90;173;188;198;213;346;398;496;570
10250;Gyé-sur-Seine;115;225;240;250;265;449;517;619;704
10100;Gélannes;70;132;147;157;172;264;303;397;463
10220;Géraudot;80;153;168;178;193;305;351;446;517
10500;Hampigny;65;122;137;147;162;243;280;372;436
10700;Herbisse;25;50;65;75;90;100;115;200;250
10240;Isle-Aubigny;45;80;95;105;120;161;185;273;329
10800;Isle-Aumont;75;142;157;167;182;284;327;421;490
10330;Jasseines;50;91;106;116;131;181;208;298;356
10200;Jaucourt;105;204;219;229;244;408;469;570;651
10320;Javernant;90;173;188;198;213;346;398;496;570
10140;Jessains;80;153;168;178;193;305;351;446;517
10320;Jeugny;90;173;188;198;213;346;398;496;570
10330;Joncreuil;60;111;126;136;151;223;256;347;409
10260;Jully-sur-Sarce;95;183;198;208;223;367;422;520;597
10310;Juvancourt;120;235;250;260;275;470;541;644;731
10140;Juvanzé;80;153;168;178;193;305;351;446;517
10500;Juzanvigny;75;142;157;167;182;284;327;421;490
10500;La Chaise;80;153;168;178;193;305;351;446;517
10600;La Chapelle-Saint-Luc;65;122;137;147;162;243;280;372;436
10100;La Fosse-Corduan;75;142;157;167;182;284;327;421;490
10140;La Loge-aux-Chèvres;85;163;178;188;203;326;374;471;543
10210;La Loge-Pomblin;100;194;209;219;234;388;446;545;624
10400;La Louptière-Thénard;95;183;198;208;223;367;422;520;597
10400;La Motte-Tilly;85;163;178;188;203;326;374;471;543
10440;La Rivière-de-Corps;70;132;147;157;172;264;303;397;463
10500;La Rothière;75;142;157;167;182;284;327;421;490
10400;La Saulsotte;75;142;157;167;182;284;327;421;490
10800;La Vendue-Mignot;80;153;168;178;193;305;351;446;517
10500;La Ville-aux-Bois;80;153;168;178;193;305;351;446;517
10400;La Villeneuve-au-Châtelot;75;142;157;167;182;284;327;421;490
10140;La Villeneuve-au-Chêne;80;153;168;178;193;305;351;446;517
10210;Lagesse;100;194;209;219;234;388;446;545;624
10120;Laines-aux-Bois;80;153;168;178;193;305;351;446;517
10110;Landreville;110;214;229;239;254;429;493;595;677
10210;Lantages;95;183;198;208;223;367;422;520;597
10500;Lassicourt;65;122;137;147;162;243;280;372;436
10270;Laubressel;70;132;147;157;172;264;303;397;463
10150;Lavau;60;111;126;136;151;223;256;347;409
10700;Le Chêne;35;60;75;85;100;119;137;223;275
10400;Le Mériot;80;153;168;178;193;305;351;446;517
10350;Le Pavillon-Sainte-Julie;75;142;157;167;182;284;327;421;490
10330;Lentilles;65;122;137;147;162;243;280;372;436
10800;Les Bordes-Aumont;80;153;168;178;193;305;351;446;517
10130;Les Croûtes;110;214;229;239;254;429;493;595;677
10170;Les Grandes-Chapelles;45;80;95;105;120;161;185;273;329
10210;Les Granges;100;194;209;219;234;388;446;545;624
10210;Les Loges-Margueron;90;173;188;198;213;346;398;496;570
10420;Les Noës-près-Troyes;70;132;147;157;172;264;303;397;463
10340;Les Riceys;115;225;240;250;265;449;517;619;704
10500;Lesmont;60;111;126;136;151;223;256;347;409
10700;Lhuître;35;60;75;85;100;119;137;223;275
10130;Lignières;115;225;240;250;265;449;517;619;704
10200;Lignol-le-Château;135;266;281;291;306;532;612;718;811
10320;Lirey;85;163;178;188;203;326;374;471;543
10110;Loches-sur-Ource;115;225;240;250;265;449;517;619;704
10310;Longchamp-sur-Aujon;125;245;260;270;285;491;564;669;758
10320;Longeville-sur-Mogne;85;163;178;188;203;326;374;471;543
10140;Longpré-le-Sec;100;194;209;219;234;388;446;545;624
10240;Longsols;55;101;116;126;141;202;232;322;382
10170;Longueville-sur-Aube;45;80;95;105;120;161;185;273;329
10270;Lusigny-sur-Barse;70;132;147;157;172;264;303;397;463
10150;Luyères;55;101;116;126;141;202;232;322;382
10200;Lévigny;90;173;188;198;213;346;398;496;570
10300;Macey;75;142;157;167;182;284;327;421;490
10320;Machy;90;173;188;198;213;346;398;496;570
10110;Magnant;95;183;198;208;223;367;422;520;597
10240;Magnicourt;55;101;116;126;141;202;232;322;382
10140;Magny-Fouchard;95;183;198;208;223;367;422;520;597
10230;Mailly-le-Camp;15;50;65;75;90;100;115;200;250
10140;Maison-des-Champs;95;183;198;208;223;367;422;520;597
10210;Maisons-lès-Chaource;100;194;209;219;234;388;446;545;624
10200;Maisons-lès-Soulaines;95;183;198;208;223;367;422;520;597
10510;Maizières-la-Grande-Paroisse;65;122;137;147;162;243;280;372;436
10500;Maizières-lès-Brienne;70;132;147;157;172;264;303;397;463
10160;Maraye-en-Othe;95;183;198;208;223;367;422;520;597
10290;Marcilly-le-Hayer;80;153;168;178;193;305;351;446;517
10350;Marigny-le-Châtel;70;132;147;157;172;264;303;397;463
10400;Marnay-sur-Seine;75;142;157;167;182;284;327;421;490
10110;Marolles-lès-Bailly;85;163;178;188;203;326;374;471;543
10130;Marolles-sous-Lignières;120;235;250;260;275;470;541;644;731
10500;Mathaux;65;122;137;147;162;243;280;372;436
10320;Maupas;85;163;178;188;203;326;374;471;543
10600;Mergey;60;111;126;136;151;223;256;347;409
10110;Merrey-sur-Arce;105;204;219;229;244;408;469;570;651
10170;Mesgrigny;55;101;116;126;141;202;232;322;382
10700;Mesnil-la-Comtesse;40;70;85;95;110;140;161;248;302
10240;Mesnil-Lettre;50;91;106;116;131;181;208;298;356
10190;Mesnil-Saint-Loup;90;173;188;198;213;346;398;496;570
10140;Mesnil-Saint-Père;80;153;168;178;193;305;351;446;517
10220;Mesnil-Sellières;60;111;126;136;151;223;256;347;409
10190;Messon;80;153;168;178;193;305;351;446;517
10210;Metz-Robert;95;183;198;208;223;367;422;520;597
10200;Meurville;110;214;229;239;254;429;493;595;677
10500;Molins-sur-Aube;55;101;116;126;141;202;232;322;382
10270;Montaulin;70;132;147;157;172;264;303;397;463
10260;Montceaux-lès-Vaudes;85;163;178;188;203;326;374;471;543
10130;Montfey;105;204;219;229;244;408;469;570;651
10300;Montgueux;75;142;157;167;182;284;327;421;490
10200;Montier-en-l'Isle;105;204;219;229;244;408;469;570;651
10130;Montigny-les-Monts;95;183;198;208;223;367;422;520;597
10270;Montiéramey;75;142;157;167;182;284;327;421;490
10140;Montmartin-le-Haut;105;204;219;229;244;408;469;570;651
10330;Montmorency-Beaufort;60;111;126;136;151;223;256;347;409
10400;Montpothier;70;132;147;157;172;264;303;397;463
10270;Montreuil-sur-Barse;75;142;157;167;182;284;327;421;490
10150;Montsuzain;50;91;106;116;131;181;208;298;356
10240;Morembert;50;91;106;116;131;181;208;298;356
10500;Morvilliers;75;142;157;167;182;284;327;421;490
10800;Moussey;80;153;168;178;193;305;351;446;517
10250;Mussy-sur-Seine;120;235;250;260;275;470;541;644;731
10170;Méry-sur-Seine;50;91;106;116;131;181;208;298;356
10250;Neuville-sur-Seine;110;214;229;239;254;429;493;595;677
10190;Neuville-sur-Vanne;110;214;229;239;254;429;493;595;677
10160;Nogent-en-Othe;105;204;219;229;244;408;469;570;651
10240;Nogent-sur-Aube;45;80;95;105;120;161;185;273;329
10400;Nogent-sur-Seine;80;153;168;178;193;305;351;446;517
10700;Nozay;40;70;85;95;110;140;161;248;302
10360;Noé-les-Mallets;110;214;229;239;254;429;493;595;677
10220;Onjon;65;122;137;147;162;243;280;372;436
10510;Origny-le-Sec;65;122;137;147;162;243;280;372;436
10700;Ormes;35;60;75;85;100;119;137;223;275
10700;Ortillon;40;70;85;95;110;140;161;248;302
10170;Orvilliers-Saint-Julien;60;111;126;136;151;223;256;347;409
10100;Ossey-les-Trois-Maisons;70;132;147;157;172;264;303;397;463
10160;Paisy-Cosdon;95;183;198;208;223;367;422;520;597
10210;Pargues;100;194;209;219;234;388;446;545;624
10330;Pars-lès-Chavanges;55;101;116;126;141;202;232;322;382
10100;Pars-lès-Romilly;65;122;137;147;162;243;280;372;436
10600;Payns;65;122;137;147;162;243;280;372;436
10500;Pel-et-Der;60;111;126;136;151;223;256;347;409
10500;Perthes-lès-Brienne;65;122;137;147;162;243;280;372;436
10500;Petit-Mesnil;75;142;157;167;182;284;327;421;490
10220;Piney;70;132;147;157;172;264;303;397;463
10250;Plaines-Saint-Lange;120;235;250;260;275;470;541;644;731
10380;Plancy-l'Abbaye;40;70;85;95;110;140;161;248;302
10160;Planty;110;214;229;239;254;429;493;595;677
10400;Plessis-Barbuise;65;122;137;147;162;243;280;372;436
10700;Poivres;25;50;65;75;90;100;115;200;250
10110;Poligny;85;163;178;188;203;326;374;471;543
10110;Polisot;105;204;219;229;244;408;469;570;651
10110;Polisy;110;214;229;239;254;429;493;595;677
10150;Pont-Sainte-Marie;60;111;126;136;151;223;256;347;409
10400;Pont-sur-Seine;75;142;157;167;182;284;327;421;490
10700;Pouan-les-Vallées;40;70;85;95;110;140;161;248;302
10240;Pougy;55;101;116;126;141;202;232;322;382
10290;Pouy-sur-Vannes;115;225;240;250;265;449;517;619;704
10210;Praslin;95;183;198;208;223;367;422;520;597
10200;Proverville;105;204;219;229;244;408;469;570;651
10190;Prugny;75;142;157;167;182;284;327;421;490
10350;Prunay-Belleville;90;173;188;198;213;346;398;496;570
10210;Prusy;110;214;229;239;254;429;493;595;677
10500;Précy-Notre-Dame;60;111;126;136;151;223;256;347;409
10500;Précy-Saint-Martin;60;111;126;136;151;223;256;347;409
10170;Prémierfait;45;80;95;105;120;161;185;273;329
10140;Puits-et-Nuisement;100;194;209;219;234;388;446;545;624
10190;Pâlis;95;183;198;208;223;367;422;520;597
10400;Périgny-la-Rose;70;132;147;157;172;264;303;397;463
10130;Racines;110;214;229;239;254;429;493;595;677
10500;Radonvilliers;70;132;147;157;172;264;303;397;463
10240;Ramerupt;45;80;95;105;120;161;185;273;329
10500;Rances;65;122;137;147;162;243;280;372;436
10170;Rhèges;45;80;95;105;120;161;185;273;329
10290;Rigny-la-Nonneuse;75;142;157;167;182;284;327;421;490
10160;Rigny-le-Ferron;105;204;219;229;244;408;469;570;651
10280;Rilly-Sainte-Syre;50;91;106;116;131;181;208;298;356
10100;Romilly-sur-Seine;65;122;137;147;162;243;280;372;436
10320;Roncenay;85;163;178;188;203;326;374;471;543
10430;Rosières-près-Troyes;75;142;157;167;182;284;327;421;490
10500;Rosnay-l'Hôpital;60;111;126;136;151;223;256;347;409
10220;Rouilly-Sacey;65;122;137;147;162;243;280;372;436
10800;Rouilly-Saint-Loup;70;132;147;157;172;264;303;397;463
10200;Rouvres-les-Vignes;120;235;250;260;275;470;541;644;731
10260;Rumilly-lès-Vaudes;85;163;178;188;203;326;374;471;543
10410;Ruvigny;65;122;137;147;162;243;280;372;436
10120;Saint-André-les-Vergers;70;132;147;157;172;264;303;397;463
10400;Saint-Aubin;80;153;168;178;193;305;351;446;517
10160;Saint-Benoist-sur-Vanne;110;214;229;239;254;429;493;595;677
10180;Saint-Benoît-sur-Seine;60;111;126;136;151;223;256;347;409
10500;Saint-Christophe-Dodinicourt;65;122;137;147;162;243;280;372;436
10350;Saint-Flavy;65;122;137;147;162;243;280;372;436
10120;Saint-Germain;75;142;157;167;182;284;327;421;490
10100;Saint-Hilaire-sous-Romilly;70;132;147;157;172;264;303;397;463
10320;Saint-Jean-de-Bonneval;85;163;178;188;203;326;374;471;543
10800;Saint-Julien-les-Villas;70;132;147;157;172;264;303;397;463
10100;Saint-Loup-de-Buffigny;75;142;157;167;182;284;327;421;490
10350;Saint-Lupien;95;183;198;208;223;367;422;520;597
10180;Saint-Lyé;60;111;126;136;151;223;256;347;409
10800;Saint-Léger-près-Troyes;80;153;168;178;193;305;351;446;517
10500;Saint-Léger-sous-Brienne;65;122;137;147;162;243;280;372;436
10330;Saint-Léger-sous-Margerie;50;91;106;116;131;181;208;298;356
10160;Saint-Mards-en-Othe;95;183;198;208;223;367;422;520;597
10100;Saint-Martin-de-Bossenay;70;132;147;157;172;264;303;397;463
10280;Saint-Mesmin;55;101;116;126;141;202;232;322;382
10700;Saint-Nabord-sur-Aube;40;70;85;95;110;140;161;248;302
10400;Saint-Nicolas-la-Chapelle;75;142;157;167;182;284;327;421;490
10170;Saint-Oulph;55;101;116;126;141;202;232;322;382
10410;Saint-Parres-aux-Tertres;65;122;137;147;162;243;280;372;436
10260;Saint-Parres-lès-Vaudes;80;153;168;178;193;305;351;446;517
10130;Saint-Phal;95;183;198;208;223;367;422;520;597
10120;Saint-Pouange;80;153;168;178;193;305;351;446;517
10700;Saint-Remy-sous-Barbuise;40;70;85;95;110;140;161;248;302
10800;Saint-Thibault;80;153;168;178;193;305;351;446;517
10360;Saint-Usage;110;214;229;239;254;429;493;595;677
10700;Saint-Étienne-sous-Barbuise;40;70;85;95;110;140;161;248;302
10150;Sainte-Maure;65;122;137;147;162;243;280;372;436
10300;Sainte-Savine;70;132;147;157;172;264;303;397;463
10700;Salon;35;60;75;85;100;119;137;223;275
10200;Saulcy;110;214;229;239;254;429;493;595;677
10600;Savières;75;142;157;167;182;284;327;421;490
10700;Semoine;25;50;65;75;90;100;115;200;250
10400;Soligny-les-Étangs;90;173;188;198;213;346;398;496;570
10320;Sommeval;85;163;178;188;203;326;374;471;543
10200;Soulaines-Dhuys;85;163;178;188;203;326;374;471;543
10320;Souligny;80;153;168;178;193;305;351;446;517
10200;Spoy;100;194;209;219;234;388;446;545;624
10410;Thennelières;65;122;137;147;162;243;280;372;436
10140;Thieffrain;95;183;198;208;223;367;422;520;597
10200;Thil;90;173;188;198;213;346;398;496;570
10200;Thors;95;183;198;208;223;367;422;520;597
10700;Torcy-le-Grand;40;70;85;95;110;140;161;248;302
10700;Torcy-le-Petit;35;60;75;85;100;119;137;223;275
10440;Torvilliers;70;132;147;157;172;264;303;397;463
10290;Trancault;95;183;198;208;223;367;422;520;597
10140;Trannes;80;153;168;178;193;305;351;446;517
10400;Traînel;95;183;198;208;223;367;422;520;597
10700;Trouans;25;50;65;75;90;100;115;200;250
10000;Troyes;65;122;137;147;162;243;280;372;436
10210;Turgy;105;204;219;229;244;408;469;570;651
10140;Unienville;80;153;168;178;193;305;351;446;517
10200;Urville;110;214;229;239;254;429;493;595;677
10150;Vailly;55;101;116;126;141;202;232;322;382
10220;Val-d'Auzon;60;111;126;136;151;223;256;347;409
10170;Vallant-Saint-Georges;55;101;116;126;141;202;232;322;382
10500;Vallentigny;70;132;147;157;172;264;303;397;463
10210;Vallières;105;204;219;229;244;408;469;570;651
10210;Vanlay;105;204;219;229;244;408;469;570;651
10190;Vauchassis;80;153;168;178;193;305;351;446;517
10140;Vauchonvilliers;95;183;198;208;223;367;422;520;597
10240;Vaucogne;50;91;106;116;131;181;208;298;356
10260;Vaudes;80;153;168;178;193;305;351;446;517
10700;Vaupoisson;40;70;85;95;110;140;161;248;302
10140;Vendeuvre-sur-Barse;90;173;188;198;213;346;398;496;570
10200;Vernonvilliers;85;163;178;188;203;326;374;471;543
10360;Verpillières-sur-Ource;115;225;240;250;265;449;517;619;704
10240;Verricourt;50;91;106;116;131;181;208;298;356
10390;Verrières;75;142;157;167;182;284;327;421;490
10600;Villacerf;55;101;116;126;141;202;232;322;382
10290;Villadin;95;183;198;208;223;367;422;520;597
10310;Ville-sous-la-Ferté;120;235;250;260;275;470;541;644;731
10110;Ville-sur-Arce;100;194;209;219;234;388;446;545;624
10200;Ville-sur-Terre;90;173;188;198;213;346;398;496;570
10410;Villechétif;65;122;137;147;162;243;280;372;436
10350;Villeloup;80;153;168;178;193;305;351;446;517
10190;Villemaur-sur-Vanne;90;173;188;198;213;346;398;496;570
10800;Villemereuil;80;153;168;178;193;305;351;446;517
10160;Villemoiron-en-Othe;95;183;198;208;223;367;422;520;597
10110;Villemorien;100;194;209;219;234;388;446;545;624
10260;Villemoyenne;85;163;178;188;203;326;374;471;543
10370;Villenauxe-la-Grande;65;122;137;147;162;243;280;372;436
10130;Villeneuve-au-Chemin;100;194;209;219;234;388;446;545;624
10330;Villeret;65;122;137;147;162;243;280;372;436
10320;Villery;85;163;178;188;203;326;374;471;543
10700;Villette-sur-Aube;35;60;75;85;100;119;137;223;275
10700;Villiers-Herbisse;25;50;65;75;90;100;115;200;250
10210;Villiers-le-Bois;110;214;229;239;254;429;493;595;677
10210;Villiers-sous-Praslin;95;183;198;208;223;367;422;520;597
10140;Villy-en-Trodes;85;163;178;188;203;326;374;471;543
10800;Villy-le-Bois;85;163;178;188;203;326;374;471;543
10800;Villy-le-Maréchal;80;153;168;178;193;305;351;446;517
10700;Vinets;40;70;85;95;110;140;161;248;302
10260;Virey-sous-Bar;90;173;188;198;213;346;398;496;570
10110;Vitry-le-Croisé;105;204;219;229;244;408;469;570;651
10110;Viviers-sur-Artaut;110;214;229;239;254;429;493;595;677
10380;Viâpres-le-Petit;35;60;75;85;100;119;137;223;275
10200;Voigny;115;225;240;250;265;449;517;619;704
10130;Vosnon;100;194;209;219;234;388;446;545;624
10210;Vougrey;90;173;188;198;213;346;398;496;570
10150;Voué;40;70;85;95;110;140;161;248;302
10160;Vulaines;105;204;219;229;244;408;469;570;651
10500;Yèvres-le-Petit;60;111;126;136;151;223;256;347;409
10350;Echemines;80;153;168;178;193;305;351;446;517
10200;Eclance;85;163;178;188;203;326;374;471;543
10110;Eguilly-sous-Bois;105;204;219;229;244;408;469;570;651
10500;Epagne;65;122;137;147;162;243;280;372;436
10500;Epothémont;80;153;168;178;193;305;351;446;517
10210;Etourvy;110;214;229;239;254;429;493;595;677
10170;Etrelles-sur-Aube;55;101;116;126;141;202;232;322;382
51240;Ablancourt;40;70;85;95;110;140;161;248;302
51150;Aigny;45;80;95;105;120;161;185;273;329
51260;Allemanche-Launay-et-Soyer;50;91;106;116;131;181;208;298;356
51120;Allemant;45;80;95;105;120;161;185;273;329
51250;Alliancelles;70;132;147;157;172;264;303;397;463
51150;Ambonnay;50;91;106;116;131;181;208;298;356
51290;Ambrières;65;122;137;147;162;243;280;372;436
51260;Anglure;55;101;116;126;141;202;232;322;382
51230;Angluzelles-et-Courcelles;45;80;95;105;120;161;185;273;329
51700;Anthenay;100;194;209;219;234;388;446;545;624
51170;Aougny;110;214;229;239;254;429;493;595;677
51170;Arcis-le-Ponsart;110;214;229;239;254;429;493;595;677
51800;Argers;65;122;137;147;162;243;280;372;436
51290;Arrigny;55;101;116;126;141;202;232;322;382
51290;Arzillières-Neuville;50;91;106;116;131;181;208;298;356
51150;Athis;45;80;95;105;120;161;185;273;329
51600;Aubérive;65;122;137;147;162;243;280;372;436
51170;Aubilly;85;163;178;188;203;326;374;471;543
51240;Aulnay-l'Aître;40;70;85;95;110;140;161;248;302
51150;Aulnay-sur-Marne;40;70;85;95;110;140;161;248;302
51110;Auménancourt;90;173;188;198;213;346;398;496;570
51800;Auve;55;101;116;126;141;202;232;322;382
51160;Avenay-Val-d'Or;60;111;126;136;151;223;256;347;409
51190;Avize;35;60;75;85;100;119;137;223;275
51160;Aÿ;60;111;126;136;151;223;256;347;409
51400;Baconnes;60;111;126;136;151;223;256;347;409
51260;Bagneux;55;101;116;126;141;202;232;322;382
51270;Le Baizil;65;122;137;147;162;243;280;372;436
51270;Bannay;65;122;137;147;162;243;280;372;436
51230;Bannes;35;60;75;85;100;119;137;223;275
51120;Barbonne-Fayel;55;101;116;126;141;202;232;322;382
51170;Baslieux-lès-Fismes;100;194;209;219;234;388;446;545;624
51700;Baslieux-sous-Châtillon;80;153;168;178;193;305;351;446;517
51300;Bassu;55;101;116;126;141;202;232;322;382
51300;Bassuet;50;91;106;116;131;181;208;298;356
51260;Baudement;55;101;116;126;141;202;232;322;382
51270;Baye;60;111;126;136;151;223;256;347;409
51110;Bazancourt;90;173;188;198;213;346;398;496;570
